produktlink-href,Title,Members_price,Price
https://www.skalk.dk/webshoppen/produkter/imports/9788792467218-vikingetidens-konger/,Vikingetidens konger,"Medlemspris: 297,50 kr.","Pris: 349,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788788415865-aggersborg-i-vikingetiden/,Aggersborg i vikingetiden,null,"Pris: 405,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788702083804-fortidens-slagmarker/,Fortidens slagmarker,"Medlemspris: 255,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788797026816-naver-med-haandvaerkerne-paa-valsen/,Naver - Med håndværkerne på valsen,null,"Pris: 268,75 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788763546768-hieratic-texts-from-tebtunis/,Hieratic Texts from Tebtunis,"Medlemspris: 317,50 kr.","Pris: 398,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788774061137-soenderjyllands-historie-bd2/,Sønderjyllands historie Bd.2,"Medlemspris: 205,00 kr.","Pris: 228,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788793890077-naesehornsfuglen-skriger-hovedjagt-og-kraniekult/,Næsehornsfuglen skriger – hovedjagt og kraniekult,"Medlemspris: 270,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788793423466-bebyggelse-paa-samsoe/,Bebyggelse på Samsø,"Medlemspris: 222,75 kr.","Pris: 248,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788712049562-danmark-og-kolonierne-vestindien/,Danmark og kolonierne - Vestindien,"Medlemspris: 297,50 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788799837144-kronborg-bag-facaden/,Kronborg bag facaden,"Medlemspris: 312,50 kr.","Pris: 369,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740617825-vasaerne/,Vasaerne,"Medlemspris: 280,00 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788778878526-cf-hansen-i-danmark-og-tyskland/,C.F. Hansen i Danmark og Tyskland,"Medlemspris: 194,38 kr.","Pris: 229,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788702140675-det-kreative-samfund/,Det kreative samfund,"Medlemspris: 338,75 kr.","Pris: 399,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788778879301-danmarks-konger-og-regenter/,Danmarks konger og regenter,"Medlemspris: 211,25 kr.","Pris: 249,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788771847512-store-danske-arkaeologer/,Store danske arkæologer,"Medlemspris: 255,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788799455546-krigen-i-nord%C3%B8stgr%C3%B8nland/,KRIGEN I NORDØSTGRØNLAND,"Medlemspris: 222,75 kr.","Pris: 248,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9780955077303-one-thousand-days-with-sirius/,ONE THOUSAND DAYS WITH SIRIUS,"Medlemspris: 133,75 kr.","Pris: 148,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788763531245-saxo-og-snorre/,Saxo og Snorre,"Medlemspris: 200,00 kr.","Pris: 250,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740650884-doeden-ved-yangtze-floden/,Døden ved Yangtze-floden,"Medlemspris: 240,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788702043884-breve-fra-anders/,Breve fra Anders,"Medlemspris: 255,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788772888057-drakenberg-og-mumien-i-%C3%A5rhus-domkirke/,Drakenberg og mumien i Århus Domkirke,"Medlemspris: 115,00 kr.","Pris: 128,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788702281644-det-vidste-du-heller-ikke-om-danmark/,Det vidste du heller ikke om Danmark,"Medlemspris: 255,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788793423428-bygning-og-bolig-gaard-og-toft/,"Bygning og bolig, gård og toft","Medlemspris: 170,00 kr.","Pris: 200,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740055009-engle-doer-aldrig-hells-angels-i-danmark-1957-1997/,Engle dør aldrig - Hells Angels i Danmark 1957-1997,"Medlemspris: 255,00 kr.","Pris: 300,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788763546676-afrodite-i-den-tidlige-graeske-epik/,Afrodite i den tidlige græske epik,"Medlemspris: 180,00 kr.","Pris: 225,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788793423015-franciskanerklosteret-i-horsens/,Franciskanerklosteret i Horsens,"Medlemspris: 168,75 kr.","Pris: 188,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788712064930-antikken-omkring-os/,Antikken omkring os,"Medlemspris: 315,00 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740669145-sundets-roede-nelliker/,Sundets røde nelliker,"Medlemspris: 279,96 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788772889351-woven-into-the-earth/,Woven into the Earth,"Medlemspris: 358,75 kr.","Pris: 398,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740062465-landsmaend/,Landsmænd,"Medlemspris: 170,00 kr.","Pris: 200,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788785160997-ryd-klosters-aarbog-i-kulturhistorisk-belysning/,Ryd klosters årbog i kulturhistorisk belysning,"Medlemspris: 126,00 kr.","Pris: 159,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788711906682-genforeningen-1920/,Genforeningen 1920,"Medlemspris: 320,00 kr.","Pris: 399,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788789531397-%C3%B8l-i-oldtiden/,Øl i oldtiden,"Medlemspris: 178,00 kr.","Pris: 230,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788755912656-karen-blixens-afrika/,Karen Blixens Afrika,"Medlemspris: 255,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740673494-svend-bjoern-og-pie/,"Svend, Bjørn og Pie","Medlemspris: 199,96 kr.","Pris: 249,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740660302-de-eventyrlige-jorden-rundt-i-80-aar-med-eventyrernes-klub/,DE EVENTYRLIGE: Jorden rundt i 80 år med Eventyrernes Klub,"Medlemspris: 320,00 kr.","Pris: 399,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788774061434-diplomat-i-graenselandet/,Diplomat i grænselandet,"Medlemspris: 222,75 kr.","Pris: 248,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788789531465-historiehjulet/,Historiehjulet,null,"Pris: 50,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788702115598-bornholm-besat/,Bornholm besat,"Medlemspris: 255,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788711567845-one-dollar-man/,One Dollar Man,"Medlemspris: 240,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788702278545-folkets-tid/,Folkets tid,"Medlemspris: 255,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788793220249-fotografer-i-hilleroed-1840-1920/,Fotografer i Hillerød 1840 - 1920,"Medlemspris: 212,50 kr.","Pris: 250,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788711984796-istiden-i-det-danske-landskab/,Istiden i det danske landskab,"Medlemspris: 320,00 kr.","Pris: 399,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788702210729-1864-dommedag-als/,1864. Dommedag Als,"Medlemspris: 80,00 kr.","Pris: 99,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788789531519-germania/,Germania,"Medlemspris: 124,00 kr.","Pris: 152,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9789949607938-da-danskerne-fik-dannebrog/,Da danskerne fik Dannebrog,"Medlemspris: 212,50 kr.","Pris: 249,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740657555-hitlers-doed/,Hitlers død,"Medlemspris: 240,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788789531489-den-danske-kaffehistorie/,Den Danske Kaffehistorie,"Medlemspris: 248,00 kr.","Pris: 288,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788702047943-gyldendals-religionshistorie/,Gyldendals religionshistorie,"Medlemspris: 495,00 kr.","Pris: 549,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788789531120-boernespejlet/,Børnespejlet,"Medlemspris: 48,00 kr.","Pris: 58,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788779343252-oplysningens-verden/,Oplysningens verden,"Medlemspris: 422,50 kr.","Pris: 498,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788711569474-kvindernes-krig/,Kvindernes krig,"Medlemspris: 170,00 kr.","Pris: 199,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788712064954-finkultur-og-mangfoldighed/,Finkultur og mangfoldighed,"Medlemspris: 340,00 kr.","Pris: 399,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788771847444-museologi-mellem-fagene/,Museologi mellem fagene,"Medlemspris: 338,75 kr.","Pris: 399,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788788415780-tybrind-vig/,Tybrind Vig,"Medlemspris: 450,00 kr.","Pris: 499,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788755912335-militaere-efterretninger/,Militære efterretninger,"Medlemspris: 80,00 kr.","Pris: 99,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788785160683-nissens-historie/,Nissens historie,"Medlemspris: 118,00 kr.","Pris: 148,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740036763-hvor-solen-graeder/,Hvor solen græder,"Medlemspris: 127,50 kr.","Pris: 150,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740662191-et-danmark-i-splid-med-sig-selv/,Et Danmark i splid med sig selv,"Medlemspris: 280,00 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788711333617-den-spanske-borgerkrig-1936-1939/,Den spanske borgerkrig 1936-1939,"Medlemspris: 255,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788779343122-moentbrug/,Møntbrug,"Medlemspris: 125,38 kr.","Pris: 148,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788792596185-togtet/,Togtet,"Medlemspris: 265,00 kr.","Pris: 249,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740613551-vikingernes-liv-og-faerden/,Vikingernes liv og færden,"Medlemspris: 200,00 kr.","Pris: 249,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788772189000-friluftsliv/,Friluftsliv,"Medlemspris: 150,00 kr.","Pris: 199,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788772305806-egyptisk-mytologi/,Egyptisk mytologi,"Medlemspris: 225,00 kr.","Pris: 249,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788789466927-kampen-om-norge-1788-1814/,Kampen om Norge 1788 - 1814,"Medlemspris: 222,75 kr.","Pris: 248,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788712058717-gotikkens-kalkmalerier/,Gotikkens kalkmalerier,"Medlemspris: 297,50 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788789531434-oldtidshjulet/,Oldtidshjulet,null,"Pris: 48,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788789531441-kongehjulet/,Kongehjulet,null,"Pris: 50,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788779342958-romerrigets-historie/,Romerrigets Historie,"Medlemspris: 248,75 kr.","Pris: 278,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788712064794-pligt-og-omsorg/,Pligt og omsorg,"Medlemspris: 297,50 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788789531533-den-danske-vinhistorie/,Den Danske Vinhistorie,"Medlemspris: 259,00 kr.","Pris: 325,00 kr."
